#Matrix-Matrix Product : AA | Scalartype Size : 4
#----------------------
#----------------------
#----------------------
#Address Bits:                  32
#Available:                     1
#Compiler Available:            1
#Endian Little:                 1
#Error Correction Support:      0
#Execution Capabilities:        CL_EXEC_KERNEL 
#Extensions:                    cl_khr_fp64 cl_amd_fp64 cl_khr_global_int32_base_atomics cl_khr_global_int32_extended_atomics cl_khr_local_int32_base_atomics cl_khr_local_int32_extended_atomics cl_khr_3d_image_writes cl_khr_byte_addressable_store cl_khr_gl_sharing cl_ext_atomic_counters_32 cl_amd_device_attribute_query cl_amd_vec3 cl_amd_printf cl_amd_media_ops cl_amd_media_ops2 cl_amd_popcnt 
#Global Mem Cache Size:         0 Bytes
#Global Mem Cache Type:         CL_NONE 
#Global Mem Cacheline Size:     0 Bytes
#Global Mem Size:               536870912 Bytes
#Host Unified Memory:           0
#Image Support:                 1
#Image2D Max Height:            16384
#Image2D Max Width:             16384
#Image3D Max Depth:             2048
#Image3D Max Height:            2048
#Image3D Max Width:             2048
#Local Mem Size:                32768 Bytes
#Local Mem Type:                CL_LOCAL 
#Max Clock Frequency:           725 MHz
#Max Compute Units:             18
#Max Constant Args:             8
#Max Constant Buffer Size:      65536 Bytes
#Max Mem Alloc Size:            134217728 Bytes
#Max Parameter Size:            1024 Bytes
#Max Read Image Args:           128
#Max Samplers:                  16
#Max Work Group Size:           256
#Max Work Item Dimensions:      3
#Max Work Item Sizes:           256 256 256 
#Max Write Image Args:          8
#Mem Base Addr Align:           2048
#Min Data Type Align Size:      128 Bytes
#Name:                          Cypress
#Native Vector Width char:      16
#Native Vector Width short:     8
#Native Vector Width int:       4
#Native Vector Width long:      2
#Native Vector Width float:     4
#Native Vector Width double:    2
#Native Vector Width half:      2
#OpenCL C Version:              OpenCL C 1.2 
#Platform:                      0x7f7aa305c520
#Preferred Vector Width char:   16
#Preferred Vector Width short:  8
#Preferred Vector Width int:    4
#Preferred Vector Width long:   2
#Preferred Vector Width float:  4
#Preferred Vector Width double: 2
#Preferred Vector Width half:   2
#Profile:                       FULL_PROFILE
#Profiling Timer Resolution:    1 ns
#Queue Properties:              CL_QUEUE_PROFILING_ENABLE 
#Single FP Config:              CL_FP_INF_NAN CL_FP_ROUND_TO_NEAREST CL_FP_ROUND_TO_ZERO CL_FP_ROUND_TO_INF CL_FP_FMA 
#Type:                          GPU 
#Vendor:                        Advanced Micro Devices, Inc.
#Vendor ID:                     4098
#Version:                       OpenCL 1.2 AMD-APP (1124.2)
#Driver Version:                1124.2
#----------------------
#tuning for size : 1280
#time,Vec,LSize1,CacheWidth,LSize2,mS,kS,nS,NumGroups
2.100e-01,1,32,16,2,1,1,1,0,0,0
2.223e-01,1,32,32,2,1,1,1,0,0,0
2.174e-01,1,32,64,2,1,1,1,0,0,0
2.272e-01,1,32,128,2,1,1,1,0,0,0
2.105e-01,1,32,16,2,1,2,1,0,0,0
2.191e-01,1,32,32,2,1,2,1,0,0,0
2.212e-01,1,32,64,2,1,2,1,0,0,0
2.258e-01,1,32,128,2,1,2,1,0,0,0
2.611e-01,1,32,16,2,1,4,1,0,0,0
2.124e-01,1,32,32,2,1,4,1,0,0,0
2.187e-01,1,32,64,2,1,4,1,0,0,0
2.191e-01,1,32,128,2,1,4,1,0,0,0
2.984e-01,1,32,16,2,1,8,1,0,0,0
2.113e-01,1,32,32,2,1,8,1,0,0,0
2.224e-01,1,32,64,2,1,8,1,0,0,0
2.246e-01,1,32,128,2,1,8,1,0,0,0
1.675e-01,1,32,16,2,1,1,1,1,0,0
2.562e-01,1,32,32,2,1,1,1,1,0,0
5.606e-01,1,32,64,2,1,1,1,1,0,0
8.763e-01,1,32,128,2,1,1,1,1,0,0
1.693e-01,1,32,16,2,1,2,1,1,0,0
2.596e-01,1,32,32,2,1,2,1,1,0,0
5.615e-01,1,32,64,2,1,2,1,1,0,0
8.769e-01,1,32,128,2,1,2,1,1,0,0
1.756e-01,1,32,16,2,1,4,1,1,0,0
2.789e-01,1,32,32,2,1,4,1,1,0,0
5.647e-01,1,32,64,2,1,4,1,1,0,0
8.655e-01,1,32,128,2,1,4,1,1,0,0
1.637e-01,1,32,16,2,1,8,1,1,0,0
2.562e-01,1,32,32,2,1,8,1,1,0,0
5.575e-01,1,32,64,2,1,8,1,1,0,0
8.655e-01,1,32,128,2,1,8,1,1,0,0
4.069e-01,1,64,16,2,1,1,1,0,0,0
4.714e-01,1,64,32,2,1,1,1,0,0,0
5.125e-01,1,64,64,2,1,1,1,0,0,0
5.826e-01,1,64,128,2,1,1,1,0,0,0
4.027e-01,1,64,16,2,1,2,1,0,0,0
4.307e-01,1,64,32,2,1,2,1,0,0,0
5.487e-01,1,64,64,2,1,2,1,0,0,0
6.057e-01,1,64,128,2,1,2,1,0,0,0
4.391e-01,1,64,16,2,1,4,1,0,0,0
5.205e-01,1,64,32,2,1,4,1,0,0,0
4.404e-01,1,64,64,2,1,4,1,0,0,0
5.966e-01,1,64,128,2,1,4,1,0,0,0
4.047e-01,1,64,16,2,1,8,1,0,0,0
4.772e-01,1,64,32,2,1,8,1,0,0,0
4.692e-01,1,64,64,2,1,8,1,0,0,0
5.880e-01,1,64,128,2,1,8,1,0,0,0
3.363e-01,1,64,16,2,1,1,1,1,0,0
4.277e-01,1,64,32,2,1,1,1,1,0,0
5.621e-01,1,64,64,2,1,1,1,1,0,0
3.181e-01,1,64,16,2,1,2,1,1,0,0
4.228e-01,1,64,32,2,1,2,1,1,0,0
5.898e-01,1,64,64,2,1,2,1,1,0,0
